SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
VIDARBHA,1948,13.9,16.5,11.1,8.1,29.4,185.1,174.1,229.0,172.0,31.3,18.2,0.0,888.7
VIDARBHA,1949,16.4,20.4,10.0,20.0,0.0,108.9,251.2,165.6,192.5,117.4,1.6,2.1,906.1
VIDARBHA,1950,9.5,23.1,0.0,18.2,47.7,76.9,174.7,198.3,126.5,80.3,18.2,0.0,773.4
VIDARBHA,1951,11.0,5.2,24.5,7.2,10.1,192.0,309.0,243.2,63.2,70.2,2.3,7.1,945.0
VIDARBHA,1952,0.0,13.1,3.4,0.0,29.8,170.8,205.2,297.1,121.2,53.5,17.5,2.6,914.2
VIDARBHA,1953,10.4,5.1,7.2,30.5,3.2,22.5,357.3,359.9,120.8,0.0,10.4,4.2,931.5
VIDARBHA,1954,6.4,0.5,17.1,20.5,0.0,194.5,389.5,218.3,124.9,47.7,21.6,0.0,1041.0
VIDARBHA,1955,8.7,6.6,30.1,12.4,44.4,98.9,292.7,232.0,101.7,58.5,29.1,4.2,919.3
VIDARBHA,1956,0.0,9.9,3.0,10.9,18.8,71.2,146.9,248.9,123.9,0.0,24.4,7.4,665.3
VIDARBHA,1957,4.0,0.0,20.7,19.7,56.4,193.5,295.6,217.1,195.7,75.5,30.5,3.6,1112.3
VIDARBHA,1958,5.8,6.7,20.6,33.8,14.2,150.6,296.2,217.3,205.8,0.0,5.9,2.4,959.3
VIDARBHA,1959,0.0,2.9,3.6,13.5,37.9,161.3,203.3,229.6,211.4,29.0,5.0,9.1,906.6
VIDARBHA,1960,7.0,15.6,12.4,24.1,5.4,171.8,257.0,157.0,78.6,78.1,11.5,1.2,819.7
VIDARBHA,1961,7.6,19.2,0.0,0.0,6.5,248.2,284.2,269.8,95.5,22.3,20.6,6.4,980.3
VIDARBHA,1962,11.2,8.3,14.6,16.6,31.3,206.6,142.2,81.4,197.6,89.7,2.5,0.0,802.0
VIDARBHA,1963,8.2,17.0,29.4,20.5,13.5,108.4,249.0,192.1,92.4,114.0,35.7,11.4,891.6
VIDARBHA,1964,2.0,16.2,17.7,19.4,37.6,190.1,296.4,245.1,158.1,0.0,15.1,2.9,1000.6
VIDARBHA,1965,0.0,22.9,28.6,30.5,22.7,230.3,246.7,220.2,87.1,63.9,14.9,0.0,967.8
VIDARBHA,1966,7.4,9.0,29.6,25.2,19.5,173.3,254.7,200.7,91.0,48.7,5.6,0.0,864.7
VIDARBHA,1967,11.1,13.1,0.0,13.5,34.9,223.3,331.8,222.3,107.7,22.5,19.1,7.9,1007.2
VIDARBHA,1968,16.0,19.1,11.1,0.6,15.9,182.3,254.3,192.5,167.5,41.7,7.9,7.8,916.7
VIDARBHA,1969,6.0,12.5,15.4,2.1,13.9,253.1,192.8,105.0,65.1,58.9,16.2,5.7,746.7
VIDARBHA,1970,15.8,0.0,16.7,34.6,4.3,153.9,222.7,179.4,142.6,101.1,37.9,4.7,913.7
VIDARBHA,1971,19.8,10.7,30.1,14.6,22.9,192.6,494.3,281.1,121.4,86.6,11.3,3.8,1289.2
VIDARBHA,1972,13.6,10.4,15.0,15.4,25.4,191.2,128.8,263.7,103.4,12.7,14.6,6.5,800.7
VIDARBHA,1973,3.7,16.5,0.0,9.9,10.9,159.6,275.1,155.8,183.7,56.0,0.0,0.0,871.2
VIDARBHA,1974,7.6,7.8,10.4,14.0,22.5,209.6,170.4,139.7,88.5,61.2,29.3,3.6,764.6
VIDARBHA,1975,0.0,0.0,3.0,7.4,12.7,157.3,222.7,269.9,107.3,25.9,19.9,0.0,826.1
VIDARBHA,1976,9.9,10.3,9.9,33.2,9.6,269.3,230.0,131.4,145.3,19.7,5.2,7.7,881.5
VIDARBHA,1977,11.1,4.7,21.5,28.4,40.9,188.8,347.0,100.0,129.2,27.2,15.9,2.9,917.6
VIDARBHA,1978,7.0,25.1,10.3,20.0,16.5,169.2,260.4,246.9,208.3,104.4,18.7,8.9,1095.7
VIDARBHA,1979,1.4,9.6,21.8,25.9,23.8,219.1,302.8,299.2,169.3,46.1,19.5,0.0,1138.5
VIDARBHA,1980,10.7,0.0,0.0,21.2,28.3,110.1,224.3,314.2,134.0,125.3,15.8,8.4,992.3
VIDARBHA,1981,18.2,11.6,2.7,14.6,20.7,99.7,257.5,188.5,205.1,59.3,12.5,5.8,896.2
VIDARBHA,1982,9.7,15.4,2.5,3.2,37.5,149.8,172.6,256.6,180.0,11.6,18.4,9.9,867.2
VIDARBHA,1983,10.4,15.2,0.0,19.2,15.8,141.2,325.3,312.5,242.3,95.4,13.9,7.9,1199.1
VIDARBHA,1984,12.5,10.8,13.1,24.6,18.8,122.1,226.6,254.3,147.6,64.3,22.8,4.0,921.5
VIDARBHA,1985,12.2,12.6,0.0,31.6,11.6,66.5,175.1,148.8,145.8,44.3,10.3,8.8,667.6
VIDARBHA,1986,9.6,11.9,15.4,21.5,0.0,135.2,91.9,209.1,140.9,83.1,28.4,6.7,753.7
VIDARBHA,1987,4.6,13.3,6.1,14.2,33.7,125.3,302.2,248.6,94.1,81.2,22.6,6.2,952.1
VIDARBHA,1988,3.2,2.8,6.2,21.0,5.0,183.7,164.6,200.6,150.6,126.6,0.0,13.2,877.5
VIDARBHA,1989,8.9,13.3,13.2,20.3,17.7,245.0,228.0,287.9,117.8,53.2,2.1,8.3,1015.7
VIDARBHA,1990,16.9,9.7,10.4,2.1,17.2,82.7,204.5,240.7,220.8,141.1,8.4,13.4,967.9
VIDARBHA,1991,9.9,9.3,17.0,16.6,22.7,151.5,176.3,139.4,190.8,49.7,8.7,6.4,798.3
VIDARBHA,1992,13.2,12.0,6.2,30.6,44.9,202.0,343.6,307.6,215.4,76.7,23.1,9.0,1284.3
VIDARBHA,1993,1.8,16.1,0.0,6.1,40.5,218.7,375.9,213.7,99.2,50.3,16.9,6.7,1045.9
VIDARBHA,1994,14.9,7.3,15.7,3.4,27.1,168.0,211.9,209.6,143.3,47.8,36.5,5.6,891.1
VIDARBHA,1995,6.4,0.0,2.9,11.6,9.4,238.2,244.1,293.6,150.5,55.2,13.7,5.9,1031.5
VIDARBHA,1996,18.0,0.0,0.0,7.8,19.3,195.5,281.3,187.0,194.2,83.4,16.5,10.5,1013.5
VIDARBHA,1997,9.2,4.9,18.3,15.4,18.8,236.2,73.0,121.9,81.7,40.8,11.1,0.0,631.3
VIDARBHA,1998,1.7,2.6,35.9,35.8,12.7,136.0,165.4,93.5,136.0,22.1,13.2,0.0,654.9
VIDARBHA,1999,3.2,10.9,15.3,19.5,0.0,206.7,195.6,250.8,144.6,11.9,10.7,7.6,876.8
VIDARBHA,2000,11.7,8.9,27.3,27.1,16.2,206.3,395.4,337.6,88.6,27.2,32.8,0.7,1179.8
VIDARBHA,2001,0.3,6.4,16.6,14.3,10.9,133.3,218.6,174.4,268.9,65.7,26.1,3.7,939.2
VIDARBHA,2002,7.3,4.8,0.0,0.0,0.0,50.3,190.5,311.5,156.0,96.7,20.8,10.2,848.1
VIDARBHA,2003,3.1,14.8,20.0,9.0,29.6,205.9,237.0,165.7,99.7,60.9,19.8,2.4,867.9
VIDARBHA,2004,8.5,15.0,18.7,34.3,40.1,117.4,389.6,198.1,209.0,59.5,10.7,0.0,1100.9
VIDARBHA,2005,7.1,0.0,21.9,33.5,8.4,184.4,213.6,186.0,191.3,54.8,36.1,3.7,940.8
VIDARBHA,2006,13.9,10.6,19.8,9.4,18.9,155.9,197.1,256.0,180.0,71.9,33.2,13.1,979.8
VIDARBHA,2007,5.4,12.5,5.2,14.6,10.1,246.6,273.7,196.9,202.9,0.0,0.0,9.7,977.6
VIDARBHA,2008,7.9,11.4,0.0,13.8,48.9,200.5,256.4,180.6,121.4,0.0,17.2,9.9,868.0
VIDARBHA,2009,0.0,4.2,0.0,2.6,19.7,41.4,288.8,253.2,129.3,0.0,2.2,11.8,753.2
VIDARBHA,2010,0.0,6.9,0.0,24.2,9.2,181.9,291.1,323.0,135.0,64.5,0.0,11.8,1047.6
VIDARBHA,2011,3.4,5.5,11.8,0.0,23.4,218.2,280.5,124.7,143.8,77.3,0.0,0.6,889.2
VIDARBHA,2012,13.5,12.5,16.5,37.8,27.7,206.5,458.2,214.3,115.0,69.6,20.8,3.6,1196.0
VIDARBHA,2013,2.2,29.0,15.9,7.0,34.8,168.0,256.5,265.7,93.6,68.6,38.8,8.7,988.8
VIDARBHA,2014,6.2,6.5,8.6,12.8,15.5,225.2,154.1,284.8,139.9,69.6,2.4,13.0,938.6
VIDARBHA,2015,15.8,18.1,0.0,25.6,27.0,84.2,270.1,251.8,184.6,62.8,19.2,13.6,972.8
